iter	Logloss	Accuracy
0	0.6687609636	0.942097313111	0.6460602071	0.9420973132	2	0.623264454	0.9420973133	3	0.6017636094	0.942097314	04	0.5821705134	0.94209735	0.5	0.563244029	0.94209736	0.6	0.5456570433	0.9420977	0.57	0.5289926388	0.94208	0.5128	0.5132046273	0.9429	0.49709	0.498138039	0.94210	0.48210	0.4834968722	0.9411	0.469011	0.4697500329	0.12	0.45639212	0.4566791697	013	0.444307313	0.444683938214	0.43263337414	0.43332342315	0.421657327115	0.4221563316	0.4109766236	16	0.411980017	0.40136605	0.917	0.402118	0.3919721871	0.9418	0.39219	0.3827395787	0.94219	0.3820	0.3745310161	0.942120	0.321	0.3659529867	0.9421321	0.22	0.3585834001	0.94213722	023	0.3514484175	0.942137723	24	0.3447270876	0.942137782425	0.3384036775	0.942137782226	0.3315879883	0.942137789227	0.32606362	0.942137789
28	0.3208260525	0.942137789
29	0.3158377711	0.942137789
30	0.3111253787	0.942137789
31	0.3058697864	0.942137789
32	0.3006684514	0.942137789
33	0.2961902741	0.942137789
34	0.2915556283	0.942137789
35	0.2872735611	0.942137789
36	0.2834039681	0.942137789
37	0.2792701275	0.942137789
38	0.2752200528	0.942137789
39	0.2716322056	0.942137789
40	0.2686668905	0.942137789
41	0.2653040044	0.942137789
42	0.2620247216	0.942137789
43	0.2587192013	0.942137789
44	0.2550538136	0.942137789
45	0.2514522146	0.942137789
46	0.2480967214	0.942137789
47	0.2450284895	0.942137789
48	0.2419645584	0.942137789
49	0.2390699041	0.942137789
50	0.2363224888	0.942137789
51	0.2336382226	0.942137789
52	0.231468219	0.942137789
53	0.2290833514	0.942137789
54	0.2267345247	0.942137789
55	0.224642636	0.942137789
56	0.2226995016	0.942137789
57	0.2209322227	0.942137789
58	0.2193697423	0.942137789
59	0.2176083937	0.942137789
60	0.2159272239	0.942137789
61	0.2143019311	0.942137789
62	0.2123874253	0.942137789
63	0.2107446844	0.942137789
64	0.2093009445	0.942137789
65	0.2077999787	0.942137789
66	0.2063887215	0.942137789
67	0.205105259	0.942137789
68	0.2037540891	0.942137789
69	0.2025579958	0.942137789
70	0.201218413	0.942137789
71	0.2001369147	0.942137789
72	0.1989723299	0.942137789
73	0.1979254198	0.942137789
74	0.1970288368	0.942137789
75	0.1961183087	0.942137789
76	0.1952055709	0.942183566
77	0.1942052566	0.942183566
78	0.1933875624	0.942183566
79	0.192543402	0.942183566
80	0.1918641302	0.942183566
81	0.191125549	0.942183566
82	0.1904961907	0.942183566
83	0.1897144739	0.942183566
84	0.1890028028	0.942183566
85	0.1881988296	0.942183566
86	0.1874353251	0.942183566
87	0.1866208703	0.942183566
88	0.1858881493	0.9423208972
89	0.1851473623	0.9423208972
90	0.184428687	0.9424124514
91	0.1838263896	0.9425040055
92	0.1832644705	0.9425955596
93	0.1826476304	0.9426413367
94	0.1821000766	0.9429159991
95	0.1815490768	0.9430533303
96	0.1809927245	0.9431906615
97	0.1805187072	0.9434195468
98	0.1799691703	0.9436942092
99	0.1794580563	0.9439230945
100	0.1790508036	0.9441062028
101	0.1786310078	0.9441977569
102	0.1782009851	0.9443808652
103	0.1777600484	0.9445639734
104	0.1773532627	0.9447013046
105	0.1770066201	0.9447928588
106	0.1766460045	0.9450217441
107	0.1762721415	0.9450675212
108	0.1759846642	0.9453421836
109	0.1757090931	0.9454337377
110	0.1754161603	0.9455710689
111	0.1751346124	0.9457541772
112	0.1748406882	0.9457541772
113	0.1746042654	0.9458457313
114	0.1743599582	0.9459830625
115	0.1741099539	0.9462577249
116	0.173910076	0.9462119478
117	0.173633395	0.9462577249
118	0.1732467051	0.946349279
119	0.1729148292	0.9465323873
120	0.1725466001	0.9464866102
121	0.1722266715	0.9464408331
122	0.1720868095	0.9464866102
123	0.1717488858	0.9465781643
124	0.1714489685	0.9465781643
125	0.1711423579	0.9468986038
126	0.1708509384	0.9469443809
127	0.1706508501	0.9471732662
128	0.1704346473	0.9474937057
129	0.1701774592	0.9475394827
130	0.1699095331	0.9476768139
131	0.1696409533	0.9475394827
132	0.1694399311	0.9476310369
133	0.1692239536	0.947722591
134	0.1689815612	0.9478599222
135	0.1687885474	0.9479056992
136	0.1685848434	0.9479972534
137	0.1683941169	0.9480430304
138	0.168188456	0.9480888075
139	0.1680547765	0.9480888075
140	0.1678327877	0.9482719158
141	0.1677145568	0.9485008011
142	0.1675329817	0.9485008011
143	0.1674851569	0.9485465782
144	0.1673078466	0.948455024
145	0.1671396638	0.9483634699
146	0.1670103589	0.9483634699
147	0.1668322903	0.9482261387
148	0.1666631899	0.9483176928
149	0.1665362167	0.948455024
150	0.1663656957	0.9486839094
151	0.1661843281	0.9487296864
152	0.1661408247	0.9487296864
153	0.1660484098	0.9487296864
154	0.1659569522	0.9486381323
155	0.1657975278	0.9485465782
156	0.1656981848	0.948455024
157	0.1655275046	0.9486839094
158	0.1653656643	0.9487754635
159	0.1652501438	0.9488670176
160	0.1651573341	0.9490043488
161	0.1650879703	0.949095903
162	0.1650553911	0.94914168
163	0.1649504287	0.9490043488
164	0.164799731	0.949095903
165	0.16469264	0.94914168
166	0.1645915633	0.9491874571
167	0.1644895218	0.9493247883
168	0.1643300219	0.9494163424
169	0.1642276296	0.9495536736
170	0.1642108206	0.9495078965
