iter	Passed	Remaining
0	254	76074
1	460	68584
2	796	78883
3	1001	74102
4	1184	69874
5	1369	67118
6	1564	65499
7	1712	62512
8	1879	60762
9	2103	60987
10	2289	60139
11	2450	58823
12	2672	59006
13	2814	57498
14	2979	56609
15	3142	55786
16	3365	56018
17	3534	55373
18	3727	55121
19	3892	54498
20	4056	53899
21	4291	54228
22	4465	53776
23	4646	53431
24	4822	53043
25	5046	53183
26	5258	53167
27	5476	53198
28	5669	52984
29	5844	52600
30	6067	52648
31	6356	53236
32	6610	53482
33	6819	53356
34	7060	53454
35	7317	53660
36	7535	53560
37	7798	53768
38	8026	53718
39	8242	53578
40	8462	53457
41	8747	53734
42	8983	53693
43	9217	53627
44	9462	53620
45	9722	53684
46	9967	53655
47	10253	53829
48	10477	53669
49	10719	53597
50	10985	53636
51	11304	53912
52	11588	54007
53	11908	54251
54	12110	53946
55	12396	54014
56	12733	54285
57	12991	54207
58	13242	54093
59	13573	54295
60	13863	54317
61	14090	54087
62	14394	54150
63	14721	54285
64	15070	54485
65	15379	54527
66	15657	54450
67	15915	54300
68	16231	54340
69	16473	54127
70	16701	53869
71	16958	53702
72	17231	53581
73	17472	53362
74	17774	53322
75	18032	53149
76	18330	53086
77	18581	52884
78	18795	52580
79	19031	52335
80	19276	52117
81	19539	51946
82	19780	51715
83	20047	51550
84	20370	51526
85	20642	51367
86	21012	51445
87	21245	51183
88	21471	50904
89	21699	50632
90	22075	50701
91	22400	50643
92	22667	50453
93	22922	50233
94	23221	50109
95	23528	49998
96	23832	49876
97	24108	49692
98	24312	49362
99	24606	49213
100	24882	49025
101	25164	48848
102	25491	48755
103	25771	48568
104	26045	48369
105	26317	48166
106	26554	47897
107	26858	47749
108	27192	47649
109	27480	47467
110	27683	47136
111	28010	47016
112	28305	46841
113	28613	46684
114	28929	46539
115	29333	46529
116	29597	46294
117	29815	45986
118	30131	45830
119	30454	45681
120	30780	45534
121	31034	45279
122	31349	45113
123	31772	45096
124	32041	44857
125	32293	44596
126	32692	44533
127	33035	44391
128	33355	44215
129	33642	43993
130	34086	43974
131	34349	43717
132	34655	43515
133	35080	43458
134	35659	43583
135	35974	43380
136	36379	43283
137	36742	43132
138	37024	42885
139	37254	42576
140	37533	42325
141	37871	42138
142	38268	42015
143	38591	41807
144	38859	41539
145	39178	41325
146	39457	41067
147	39749	40823
148	40054	40592
149	40322	40322
150	40655	40117
151	40999	39920
152	41329	39708
153	41626	39464
154	42028	39316
155	42357	39099
156	42688	38881
157	43087	38723
158	43372	38462
159	43729	38263
160	44043	38024
161	44362	37790
162	44729	37594
163	45093	37394
164	45426	37167
165	45789	36962
166	46115	36726
167	46437	36486
168	46797	36275
169	47096	36014
170	47490	35825
171	47894	35642
172	48269	35434
173	48718	35279
174	49062	35044
175	49457	34845
176	49842	34636
177	50244	34437
178	50673	34254
179	50994	33996
180	51384	33783
181	51985	33705
182	52532	33586
183	53126	33492
184	53567	33298
185	54021	33110
186	54544	32960
187	55293	32940
188	55727	32728
189	56081	32468
190	56418	32197
191	56827	31965
192	57299	31767
193	57657	31503
194	57992	31226
195	58399	30987
196	58787	30736
197	59285	30540
198	59644	30271
199	60008	30004
200	60443	29770
201	60907	29549
202	61334	29307
203	61736	29052
204	62191	28820
205	62631	28579
206	63060	28331
207	63506	28089
208	63945	27842
209	64313	27562
210	64695	27288
211	65342	27123
212	66071	26986
213	66518	26731
214	67068	26515
215	67533	26263
216	67920	25978
217	68352	25710
218	68793	25444
219	69286	25194
220	69694	24913
221	70185	24659
222	70636	24390
223	71052	24107
224	71422	23807
225	71757	23495
226	72202	23219
227	72580	22920
228	73039	22645
229	73423	22346
230	73786	22040
231	74243	21761
232	74651	21466
233	75113	21185
234	75564	20900
235	75979	20604
236	76363	20299
237	76786	20003
238	77194	19702
239	77678	19419
240	78096	19119
241	78428	18796
242	78792	18482
243	79159	18167
244	79523	17852
245	79970	17554
246	80416	17255
247	80922	16967
248	81278	16647
249	81730	16346
250	82106	16028
251	82520	15718
252	82855	15392
253	83336	15092
254	83724	14774
255	84226	14476
256	84645	14162
257	85039	13843
258	85468	13529
259	85993	13229
260	86415	12912
261	86946	12610
262	87305	12282
263	87713	11960
264	88107	11636
265	88531	11316
266	89036	11004
267	89408	10675
268	89777	10346
269	90162	10018
270	90507	9685
271	90794	9346
272	91178	9017
273	91506	8683
274	91866	8351
275	92245	8021
276	92631	7691
277	92983	7358
278	93451	7033
279	93832	6702
280	94233	6371
281	94681	6043
282	95126	5714
283	95606	5386
284	96254	5066
285	96650	4731
286	97108	4398
287	97452	4060
288	97851	3724
289	98218	3386
290	98612	3049
291	98992	2712
292	99394	2374
293	99788	2036
294	100185	1698
295	100562	1358
296	101005	1020
297	101374	680
298	101800	340
299	102210	0
