iter	Logloss	Accuracy
0	0.6688160888	0.9419416365
1	0.6449384595	0.9418271982
2	0.6234798813	0.9418271982
3	0.6018792462	0.9418271982
4	0.582315145	0.9418271982
5	0.5638942134	0.9418271982
6	0.5456741861	0.9418271982
7	0.5290411908	0.9418271982
8	0.512757529	0.9418271982
9	0.4967283248	0.9418271982
10	0.4826387971	0.9418271982
11	0.4692984319	0.9418271982
12	0.4559470587	0.9418271982
13	0.44373389	0.9418271982
14	0.4322933726	0.9418271982
15	0.4212726461	0.9418271982
16	0.4108135116	0.9418271982
17	0.4008924592	0.9418271982
18	0.3915216432	0.9418271982
19	0.3826480816	0.9418271982
20	0.3743072173	0.9418271982
21	0.3666242376	0.9418271982
22	0.3587027968	0.9418271982
23	0.3515876689	0.9418271982
24	0.3450188319	0.9418271982
25	0.338854381	0.9418271982
26	0.332950921	0.9418271982
27	0.326800972	0.9418271982
28	0.3205049613	0.9418271982
29	0.3148549444	0.9418271982
30	0.3098649725	0.9418271982
31	0.3046328736	0.9418271982
32	0.2994844347	0.9418271982
33	0.2950460165	0.9418271982
34	0.2906766555	0.9418271982
35	0.2866352376	0.9418271982
36	0.2830572717	0.9418271982
37	0.2785755986	0.9418271982
38	0.274195088	0.9418271982
39	0.2715474238	0.9418271982
40	0.2677678518	0.9418271982
41	0.2639693137	0.9418271982
42	0.260260166	0.9418271982
43	0.2572459831	0.9418271982
44	0.2539171469	0.9418271982
45	0.2520180131	0.9418271982
46	0.2487846275	0.9418271982
47	0.2459912278	0.9418271982
48	0.2432036329	0.9418271982
49	0.2398704532	0.9418271982
50	0.2367206386	0.9418271982
51	0.2341885042	0.9418271982
52	0.2314157498	0.9418271982
53	0.2287089858	0.9418271982
54	0.2262268007	0.9418271982
55	0.223724612	0.9418271982
56	0.221556833	0.9418271982
57	0.2193183407	0.9418271982
58	0.2172077602	0.9418271982
59	0.2154106749	0.9418271982
60	0.2135915827	0.9418271982
61	0.2120584491	0.9418271982
62	0.2102538232	0.9418271982
63	0.2088408788	0.9418271982
64	0.2071903491	0.9418271982
65	0.2059432486	0.9418271982
66	0.2045790114	0.9418271982
67	0.2033919302	0.9418271982
68	0.202221963	0.9418653443
69	0.2009172708	0.9418653443
70	0.1997055591	0.9418653443
71	0.1986369352	0.9418653443
72	0.1975657369	0.9418653443
73	0.1965725539	0.9418653443
74	0.1955256621	0.9418653443
75	0.1946552244	0.9419034904
76	0.1936972886	0.9419034904
77	0.1928146321	0.9419034904
78	0.191982871	0.9419034904
79	0.1911390104	0.9419034904
80	0.1903674692	0.9419034904
81	0.1896040086	0.9419416365
82	0.1890191419	0.9419797826
83	0.188288057	0.9419797826
84	0.1876384517	0.9421705131
85	0.1869487228	0.9425519741
86	0.1861883725	0.9425519741
87	0.1855006699	0.9426664124
88	0.1847738975	0.9428189968
89	0.1841689172	0.9430097273
90	0.1835567296	0.9436200648
91	0.1830541074	0.943696357
92	0.1824917291	0.9437726492
93	0.1819732203	0.9438489414
94	0.1815209847	0.9438870875
95	0.1810694042	0.9438870875
96	0.1805568364	0.9439252336
97	0.1801526104	0.9439633797
98	0.1796836224	0.9441541102
99	0.1791717522	0.9442304024
100	0.1787558257	0.9445355712
101	0.1782993552	0.9446881556
102	0.1779001228	0.9447263017
103	0.1774576463	0.9451459088
104	0.1770605246	0.9453747854
105	0.1766910205	0.9456418081
106	0.1764108089	0.9457562464
107	0.1761238177	0.9457562464
108	0.1758286219	0.9457181003
109	0.1754881357	0.945985123
110	0.1751796978	0.9462521457
111	0.1748961738	0.9462139996
112	0.174587764	0.946366584
113	0.1743224387	0.9465573145
114	0.1740543897	0.946748045
115	0.1738535291	0.9467861911
116	0.1735870711	0.9469006294
117	0.1733196188	0.9469387755
118	0.1731044919	0.9470150677
119	0.1727891131	0.9470913599
120	0.1724871226	0.947129506
121	0.1722126647	0.9473202365
122	0.1719706089	0.9473583826
123	0.1717515379	0.9473583826
124	0.171512291	0.9474346748
125	0.17125172	0.9475872592
126	0.1710376048	0.9473965287
127	0.170761941	0.9475872592
128	0.1705511586	0.9477779897
129	0.1703650993	0.9476635514
130	0.1701892348	0.9478542819
131	0.1698833369	0.9479687202
132	0.1696207894	0.9480450124
133	0.1693695332	0.9480068663
134	0.1690935398	0.9480068663
135	0.1688247237	0.9480831585
136	0.1686632232	0.948273889
137	0.1684321856	0.9483501812
138	0.1682045227	0.9483120351
139	0.1680403174	0.9483120351
140	0.1678658246	0.9484646195
141	0.1677077483	0.9485027656
142	0.1675694103	0.9483883273
143	0.1673353256	0.9485027656
144	0.1671585425	0.9485027656
145	0.1670275062	0.9485027656
146	0.1668434056	0.9485790578
147	0.1666259914	0.9486172039
148	0.1664449017	0.9485790578
149	0.166310003	0.94865535
150	0.1661240526	0.9487316422
151	0.1659782438	0.9487316422
152	0.1658393627	0.9487697883
153	0.1656894172	0.9488079344
154	0.1655429608	0.9488842266
155	0.1653625911	0.9491131032
156	0.1652452541	0.9491512493
157	0.1650926423	0.9491893954
158	0.1648826776	0.9493038337
159	0.1647263721	0.9493038337
160	0.164593117	0.9492656876
161	0.1644560607	0.9493801259
162	0.1642779801	0.949418272
163	0.1641134119	0.9494564181
164	0.1639912059	0.9494945642
165	0.1638274258	0.9494945642
166	0.1636887225	0.9495708564
167	0.1635411469	0.9496852947
168	0.1634180089	0.9497615869
169	0.163274578	0.949799733
170	0.1631318406	0.9497615869
171	0.1630488502	0.949799733
172	0.1629307297	0.9497615869
173	0.1628369727	0.9498760252
174	0.1627149646	0.9500286096
175	0.1625616033	0.9500286096
176	0.1624872243	0.9501049018
177	0.1623754763	0.9499904635
178	0.162254796	0.9500667557
179	0.1621106667	0.9500667557
180	0.1619734421	0.9499141713
181	0.1618566975	0.9499904635
182	0.1617918097	0.9499523174
183	0.1616875566	0.9500286096
184	0.1616347283	0.9500286096
185	0.1615348924	0.9500286096
186	0.1614469387	0.9501430479
187	0.1613803758	0.9501049018
188	0.1612890969	0.9503719245
189	0.1612285207	0.9503719245
190	0.1611451392	0.9503337784
191	0.1610698531	0.9503337784
192	0.1609731987	0.950562655
193	0.1609159075	0.9506389472
194	0.1608371257	0.950562655
195	0.1607652796	0.950562655
196	0.1607218747	0.9504863628
197	0.1606201417	0.9504863628
198	0.1605777119	0.9504863628
199	0.1605222418	0.950562655
200	0.1604678071	0.9504482167
201	0.1603877154	0.9505245089
202	0.1602645944	0.9504482167
203	0.160138254	0.950562655
204	0.1600249187	0.9506389472
205	0.1598951317	0.9507533855
206	0.1598267114	0.9507152394
207	0.1597585474	0.9506008011
208	0.159707018	0.9507533855
209	0.1595593965	0.9508296777
210	0.1594996521	0.9509059699
211	0.1594615313	0.950944116
212	0.1593372027	0.9510585543
213	0.1593133531	0.9510585543
214	0.1592750903	0.9510585543
215	0.1592155056	0.9509822621
216	0.1591827665	0.9510585543
217	0.1591419034	0.9510585543
218	0.1590310956	0.9510585543
219	0.1589202976	0.9510204082
220	0.1588270863	0.9510204082
221	0.1587301883	0.9510204082
222	0.1586245133	0.9510204082
223	0.1585318834	0.9510204082
224	0.1584313881	0.950944116
225	0.1583668214	0.9510204082
226	0.1582635907	0.9510585543
227	0.1582102872	0.9511348465
228	0.1581024058	0.9511729926
229	0.1580632323	0.9511729926
230	0.1580265054	0.9511348465
231	0.1579513728	0.9512111387
232	0.1578783167	0.9511729926
233	0.1577951235	0.951325577
234	0.1577296933	0.9512874309
235	0.1576394414	0.9512874309
236	0.157585579	0.9513637231
237	0.1575174023	0.9513637231
238	0.1574660502	0.9514400153
239	0.1574269963	0.9514781614
240	0.1573668094	0.9515163075
241	0.1573160038	0.9515163075
242	0.1572650938	0.9515163075
243	0.1572385313	0.9515163075
