iter	Passed	Remaining
0	38	17488
1	71	15915
2	85	12741
3	118	13237
4	141	12611
5	156	11572
6	197	12473
7	207	11484
8	229	11239
9	250	11031
10	272	10858
11	289	10564
12	304	10230
13	319	9964
14	335	9717
15	351	9546
16	363	9263
17	384	9216
18	407	9247
19	429	9232
20	441	9027
21	454	8834
22	478	8883
23	500	8887
24	515	8761
25	527	8605
26	541	8487
27	563	8487
28	596	8656
29	621	8697
30	633	8564
31	666	8701
32	718	9084
33	756	9258
34	799	9482
35	817	9404
36	831	9284
37	858	9313
38	886	9340
39	897	9196
40	916	9138
41	944	9178
42	982	9298
43	1001	9243
44	1034	9311
45	1045	9184
46	1092	9367
47	1144	9586
48	1178	9641
49	1236	9891
50	1286	10066
51	1327	10164
52	1361	10197
53	1400	10269
54	1452	10429
55	1505	10595
56	1552	10707
57	1611	10892
58	1659	10997
59	1703	11070
60	1744	11124
61	1774	11106
62	1834	11270
63	1871	11290
64	1902	11269
65	1927	11214
66	1968	11253
67	2004	11259
68	2041	11271
69	2066	11217
70	2107	11250
71	2142	11247
72	2198	11356
73	2254	11455
74	2291	11457
75	2322	11430
76	2414	11694
77	2485	11852
78	2517	11822
79	2562	11849
80	2606	11873
81	2629	11801
82	2642	11686
83	2674	11654
84	2733	11737
85	2813	11906
86	2871	11982
87	2914	11990
88	2966	12032
89	3038	12152
90	3082	12159
91	3116	12126
92	3147	12080
93	3171	12011
94	3231	12074
95	3256	12007
96	3302	12019
97	3355	12053
98	3393	12030
99	3435	12025
100	3492	12069
101	3571	12186
102	3651	12300
103	3713	12354
104	3762	12362
105	3805	12349
106	3857	12365
107	3920	12415
108	3950	12360
109	3989	12332
110	4024	12289
111	4079	12311
112	4149	12373
113	4211	12412
114	4259	12408
115	4310	12409
116	4357	12400
117	4398	12376
118	4476	12452
119	4569	12565
120	4624	12574
121	4682	12590
122	4710	12524
123	4735	12449
124	4779	12427
125	4823	12402
126	4858	12356
127	4893	12309
128	4972	12374
129	5025	12369
130	5058	12319
131	5110	12311
132	5135	12239
133	5211	12288
134	5271	12301
135	5307	12253
136	5365	12259
137	5406	12223
138	5442	12177
139	5523	12230
140	5603	12279
141	5656	12268
142	5684	12204
143	5737	12191
144	5811	12224
145	5832	12145
146	5866	12093
147	5890	12019
148	5939	11998
149	5976	11953
150	6005	11892
151	6032	11826
152	6072	11787
153	6160	11840
154	6230	11858
155	6278	11833
156	6315	11786
157	6357	11749
158	6418	11747
159	6486	11757
160	6545	11748
161	6624	11776
162	6663	11732
163	6707	11697
164	6781	11713
165	6832	11689
166	6881	11661
167	6953	11671
168	6987	11617
169	7049	11610
170	7091	11571
171	7153	11562
172	7190	11513
173	7257	11512
174	7283	11444
175	7357	11453
176	7401	11415
177	7455	11393
178	7506	11364
179	7579	11369
180	7654	11375
181	7736	11391
182	7787	11362
183	7861	11365
184	7920	11345
185	7961	11299
186	8004	11258
187	8072	11250
188	8116	11207
189	8189	11206
190	8277	11224
191	8357	11230
192	8404	11190
193	8452	11153
194	8490	11102
195	8528	11051
196	8587	11028
197	8669	11033
198	8724	11004
199	8806	11008
200	8868	10986
201	8947	10985
202	9006	10959
203	9052	10915
204	9100	10875
205	9142	10828
206	9204	10805
207	9281	10798
208	9331	10759
209	9415	10760
210	9485	10744
211	9577	10752
212	9662	10751
213	9713	10712
214	9769	10678
215	9811	10629
216	9888	10617
217	9956	10595
218	10021	10570
219	10081	10540
220	10164	10532
221	10220	10497
222	10262	10446
223	10335	10428
224	10400	10400
225	10473	10380
226	10560	10374
227	10631	10351
228	10722	10347
229	10794	10325
230	10846	10282
231	10902	10244
232	10973	10220
233	11046	10196
234	11106	10160
235	11182	10140
236	11262	10121
237	11325	10088
238	11408	10072
239	11478	10043
240	11549	10016
241	11626	9992
242	11702	9968
243	11757	9926
244	11836	9903
245	11900	9868
246	11961	9831
247	12037	9804
248	12124	9787
249	12167	9734
250	12243	9707
251	12307	9669
252	12371	9633
253	12450	9607
254	12512	9568
255	12586	9538
256	12666	9512
257	12721	9466
258	12804	9442
259	12867	9403
260	12916	9353
261	13002	9330
262	13091	9308
263	13165	9276
264	13241	9244
265	13311	9207
266	13368	9162
267	13439	9126
268	13520	9097
269	13596	9064
270	13676	9033
271	13759	9004
272	13805	8951
273	13891	8922
274	13983	8898
275	14058	8862
276	14134	8827
277	14200	8786
278	14252	8735
279	14332	8702
280	14414	8669
281	14478	8625
282	14541	8581
283	14623	8547
284	14687	8503
285	14736	8450
286	14814	8414
287	14900	8381
288	14966	8337
289	15043	8299
290	15116	8259
291	15189	8218
292	15261	8177
293	15332	8135
294	15433	8108
295	15506	8067
296	15604	8038
297	15672	7994
298	15728	7942
299	15802	7901
300	15845	7843
301	15925	7804
302	16001	7762
303	16075	7720
304	16117	7662
305	16180	7614
306	16255	7571
307	16314	7521
308	16391	7479
309	16469	7437
310	16537	7391
311	16597	7341
312	16668	7295
313	16730	7246
314	16772	7188
315	16842	7142
316	16916	7097
317	16994	7054
318	17072	7010
319	17156	6970
320	17239	6927
321	17284	6870
322	17363	6827
323	17424	6776
324	17497	6729
325	17583	6688
326	17639	6634
327	17716	6589
328	17789	6542
329	17857	6493
330	17921	6442
331	17998	6397
332	18083	6353
333	18161	6307
334	18221	6255
335	18293	6206
336	18357	6155
337	18428	6106
338	18498	6057
339	18575	6009
340	18616	5950
341	18708	5907
342	18770	5855
343	18837	5804
344	18896	5751
345	18954	5697
346	19016	5644
347	19089	5595
348	19157	5544
349	19262	5503
350	19357	5459
351	19436	5411
352	19508	5360
353	19598	5314
354	19655	5259
355	19729	5209
356	19793	5156
357	19844	5099
358	19914	5048
359	19978	4994
360	20050	4943
361	20131	4893
362	20202	4841
363	20270	4789
364	20335	4735
365	20405	4683
366	20453	4625
367	20513	4570
368	20614	4525
369	20693	4474
370	20757	4420
371	20820	4365
372	20876	4309
373	20939	4255
374	21011	4202
375	21074	4147
376	21139	4093
377	21221	4042
378	21288	3988
379	21309	3925
380	21367	3869
381	21440	3816
382	21512	3763
383	21569	3707
384	21625	3651
385	21709	3599
386	21796	3548
387	21871	3494
388	21920	3437
389	21993	3383
390	22056	3328
391	22124	3273
392	22211	3221
393	22288	3167
394	22356	3112
395	22450	3061
396	22517	3006
397	22586	2950
398	22655	2895
399	22739	2842
400	22806	2786
401	22879	2731
402	22965	2678
403	23053	2624
404	23130	2570
405	23190	2513
406	23266	2458
407	23333	2401
408	23405	2346
409	23477	2290
410	23542	2233
411	23636	2180
412	23711	2124
413	23805	2070
414	23868	2013
415	23958	1958
416	24035	1902
417	24109	1845
418	24160	1787
419	24244	1731
420	24332	1676
421	24450	1622
422	24549	1566
423	24622	1509
424	24692	1452
425	24759	1394
426	24844	1338
427	24921	1281
428	24991	1223
429	25058	1165
430	25160	1109
431	25236	1051
432	25285	992
433	25363	935
434	25435	877
435	25513	819
436	25585	761
437	25646	702
438	25708	644
439	25763	585
440	25818	526
441	25912	469
442	25979	410
443	26059	352
444	26134	293
445	26197	234
446	26263	176
447	26327	117
448	26402	58
449	26486	0
